SMILES,MW,LogP,NumHDonors,NumHAcceptors,TPSA,Solubility
CNCOC,75.111,-0.19030000000000014,1,2,21.259999999999998,-2.977571103825428
NNNCOCCN,120.15600000000002,-2.112899999999999,4,5,85.33,-2.170726802164671
OOCONOCCO,139.107,-1.1214,3,6,80.18,0.11733975214152625
NCONCOCC,120.152,-0.5822,2,4,56.510000000000005,-3.5432977093922764
ONNNNNNNC,137.14700000000002,-3.3773999999999997,8,8,104.44,-1.8919221674011566
CNCOCOONCOCN,181.19199999999998,-1.5194999999999983,3,7,87.0,-1.0557419931858065
ONOOCOCOCCNNNC,212.20600000000002,-1.9947999999999981,5,9,105.27000000000001,-1.003752273194685
NNCCONNNCOON,182.18399999999997,-3.240499999999998,6,9,127.85000000000001,-1.120243434947282
CCCCOONCOOCNON,211.218,-0.5025999999999988,3,8,96.23,-3.1090238718184104
OOCON,79.055,-0.6762000000000001,2,4,64.71,-2.2527012592621465
NOCNONOC,123.112,-1.5785999999999996,3,6,77.77000000000001,-2.1319242854923663
ONNOCOOCONCNC,198.17900000000003,-2.0372999999999983,5,9,105.27000000000001,-0.7414327558973819
CCOCCOOCCOO,166.173,0.46069999999999983,1,5,57.150000000000006,-2.955940191462968
OONNCNCONC,152.154,-1.859199999999999,5,7,86.81,-0.8604637573622296
OCOOCCNOOCCOO,199.159,-1.1731999999999987,3,8,98.64000000000001,0.0732086061459265
CNONO,78.071,-0.9688000000000001,3,4,53.519999999999996,-2.5947633252285236
OOCCNONCO,138.123,-1.5483999999999993,4,6,82.98,-2.8557032054748857
CCCNC,73.139,0.6157999999999999,1,1,12.03,-2.00588395611267
OCCOONO,109.08099999999999,-1.1793,3,5,70.95,-2.5293288529332454
OCCONNNNOOO,170.125,-2.6500999999999992,6,9,116.27000000000001,-1.3201893260344093
CCOOO,78.067,0.4275,1,3,38.69,-2.76693699634168
OCONNCCCNONCO,196.20700000000002,-2.6722999999999977,6,8,107.04,-2.297764560727752
OCCONOCNNOCN,182.17999999999998,-2.668999999999998,5,8,110.03,-3.0836001565707516
ONCONCONNNOOC,199.167,-2.575199999999998,6,10,117.30000000000001,-1.179613879102981
OOOOOCOCCCOCOC,214.16999999999996,0.25550000000000006,1,8,84.84000000000002,-2.359067564460502
OCOON,79.055,-1.2419000000000002,2,4,64.71,-3.6038725724748497
CNOCNN,91.114,-1.4417999999999989,3,4,59.31,-2.6046045448033737
OCCNCNOCCCNOC,193.24699999999999,-1.4118999999999984,4,6,74.78,-2.4460189300719586
OCNNCOOOONCNNO,215.16600000000003,-3.2551999999999985,7,11,137.53,-2.911102962966555
OOOCNC,93.082,-0.4155,2,4,50.72,-2.278791356804775
OOCCNC,91.10999999999999,-0.3046,2,3,41.49,-1.074992161457913
ONCCO,77.083,-1.0425,3,3,52.489999999999995,-1.766168957393077
CCOOON,93.08200000000001,-0.24019999999999986,1,4,53.71,-3.1518882966881834
COONONN,109.08500000000001,-1.6210999999999993,3,6,77.77,-1.1304686742549768
CONCCONN,121.14000000000001,-1.467699999999999,3,5,68.53999999999999,-1.5773612363979383
